Gene	Score
LTK	-0.8603078051987754
CNBP	-0.8602478649677828
CUL4A	-0.8602433678246227
ATL3	-0.8602307593811311
SCARB1	-0.8600858300063857
PPP2R1A	-0.8600847213174345
KLF5	-0.8599982395420432
RHOT2	-0.8599443349781245
PIP4K2C	-0.8597405846670898
MADD	-0.8597299466453391
PPIL1	-0.859635363333398
PRKCH	-0.85960470666831
ADPRS	-0.8595861882249225
CYP7B1	-0.8595819010945946
FGF12	-0.8595347814611372
ABCG4	-0.859474555830537
TLK1	-0.8594530619842932
TGIF2	-0.8594354462928963
REC8	-0.8593715224876503
TXNRD3	-0.8591657084066411
SERTAD2	-0.8591291373119097
POLG	-0.8590631911456817
LRCH4	-0.8589875703147917
TAL1	-0.8588641781393072
GGA2	-0.8588129495176047
RFNG	-0.8587116973193343
TARS2	-0.858645323640899
XPR1	-0.8585880975418682
CARS2	-0.8585311521916258
PPP1R16A	-0.8584795530344557
DOCK7	-0.8582577492861484
TMC6	-0.858256862804224
KCNC1	-0.8581658387361963
KCNJ11	-0.8579878226545546
TXNDC9	-0.8578692644713776
ACSS1	-0.8577962537665837
PRKAB1	-0.8577912971684962
METTL8	-0.8577262021974222
MTA3	-0.8576885273555976
UBE2Q2	-0.8572509230406905
RNF208	-0.8571759514593504
PLEKHJ1	-0.8571232258323339
PCDH7	-0.8570646068166781
CYB5D2	-0.856848754859065
PTDSS2	-0.8568228925746327
MMRN1	-0.8567775939739487
EIF4G2	-0.8566973786152744
SDSL	-0.8566438187045198
PRPF4	-0.8566149738599238
ORMDL3	-0.8566104560345918
GGA3	-0.8565571120790615
TTC39A	-0.8565059155155086
TMEM120B	-0.8564461481427709
MAST2	-0.8563925784030634
SAMD14	-0.856357278456998
MIF	-0.8563025289721489
ABCA3	-0.856297641727481
ACSL1	-0.8562050464660301
CDKN2C	-0.8561909480897558
CORO6	-0.8558581056235104
HEMGN	-0.8557606122884658
GPKOW	-0.8555964969129118
PCCB	-0.8555760747172467
DDX1	-0.8555173418226535
REM2	-0.8555132279823363
SPHK1	-0.8555005641913223
AMFR	-0.8554977724736508
ARHGAP6	-0.8554670511840441
NTN4	-0.8554574338116254
HOXA6	-0.8553428715074586
CSTF1	-0.8553265098966274
TRIM10	-0.8552685885818712
SUCLG2	-0.855124853725612
LIPH	-0.8548988105469728
ANK1	-0.8548802342198114
ZNF664	-0.8548786355935748
EHD1	-0.8548314113014293
CLPTM1L	-0.8547893233182751
DAAM1	-0.8547357520952573
SLC46A3	-0.854546749659887
NOTCH4	-0.8545320955663868
FHL1	-0.8545318977217433
TRIB2	-0.8543754764754043
EMP1	-0.8543400267313476
RTN4IP1	-0.8542471226736293
HEPACAM	-0.8541720976563195
RNASE10	-0.8540241362499815
AGTR1	-0.8539970253245246
EEF2	-0.853985024129314
USP16	-0.8539585733010577
RBP1	-0.8539221851314975
RNF167	-0.8539088645220382
MYO1D	-0.8538859601689915
LAP3	-0.8538807094538601
SRGAP3	-0.8538522341158122
TAPT1	-0.8538356351180405
WDR5	-0.853825345749036
TAS2R42	-0.8538248963579886
PCDHA2	-0.8537012658829506
KIAA0895	-0.8536311835284939
C1orf159	-0.8536222390495636
ANKRA2	-0.8535106622661297
RNF19A	-0.8534254598182922
L2HGDH	-0.8533059789979351
APBB3	-0.8533013075558145
CCT8	-0.8530944877430969
NARF	-0.8530674331608258
ARSG	-0.852883714388584
STXBP1	-0.85282760054424
FADS3	-0.8527823610310081
NXPH1	-0.8526961435130134
REXO4	-0.8526577268462217
RCAN3	-0.852654779118713
DNTT	-0.8524459097803123
SOS2	-0.8523570710020164
PXMP2	-0.8520227689545641
ADRB2	-0.851941400087216
PPM1A	-0.8517986239024172
NAGS	-0.8517380101520288
C11orf94	-0.8517374163110111
MPL	-0.8516476424187249
TNFAIP2	-0.8515738349735528
ADAM20	-0.8514039503531654
NUP133	-0.8513312389283707
SLC25A42	-0.8509688287523846
CNNM2	-0.8509230866006532
OR9Q2	-0.8508535114765224
PLRG1	-0.8508528650369329
ALDH18A1	-0.8507902821494526
DMAP1	-0.8507480941087874
EEFSEC	-0.8507401210317638
SLC43A1	-0.8505640316653651
NOL11	-0.8503955908663672
COG1	-0.8502847378439182
USP47	-0.850158318722473
SBNO1	-0.8501085544224366
TBCA	-0.8499708637518045
SCML4	-0.8499505592819853
ADCK5	-0.8499346132007279
TIMM44	-0.849927483377667
ABCD3	-0.8499139811151859
SLC25A15	-0.8497112868567421
TRAK2	-0.8495840180308891
PNCK	-0.8495116919130328
CTSW	-0.8494895546050851
FZD7	-0.84938133220903
PHF10	-0.849184408774088
RSAD1	-0.8490812220302331
MPPED1	-0.8489434171188797
GATA1	-0.8487235771810113
ZFP41	-0.8486819486832701
AGPAT4	-0.8486156046645078
GDPD1	-0.8484614452633513
ALAD	-0.8481589958962393
ART4	-0.8481442509706075
TNFRSF13C	-0.8480147757837051
YIPF2	-0.8479670111749465
MIP	-0.8479302361024117
FADS1	-0.8479072268406622
MFN1	-0.8478212371545703
MIA2	-0.8476811155566467
SPIN1	-0.8475419467371508
AMIGO2	-0.8473848775151872
RAB4A	-0.8473494611187515
TXNRD2	-0.8473087601855354
P2RY1	-0.8472238827432531
TCF12	-0.8470268377323928
TRIP6	-0.8470034774506958
RPL21	-0.8468886476516465
PDXDC1	-0.8467862511274498
LDB1	-0.8467419652231726
ATP1B2	-0.8465932213370161
PCP4	-0.8465199522907066
RASL12	-0.846511053121934
LIN7A	-0.8465067129749942
GP5	-0.8462888260139496
TWIST1	-0.8462211197582117
ZBTB41	-0.8461778593862912
RAB3A	-0.8461024811181753
KIT	-0.8460995113695956
UPRT	-0.8459153118207409
AQP1	-0.8458299432646895
NPHP1	-0.845826945916307
EMID1	-0.8458201935672763
LRRC17	-0.8458040802650508
UBA2	-0.8457530024884502
LETMD1	-0.845690198777138
MGST3	-0.8455803111894568
MYH10	-0.8455760723616325
PRKAR2B	-0.8455439572655191
SCD	-0.8455175453821715
VCL	-0.8454391345353534
UHRF1BP1	-0.8453129746977309
KLHDC8B	-0.8451560552400225
IL7R	-0.8449606850445756
SAV1	-0.8449070563118336
CHAT	-0.844522400464172
CCHCR1	-0.8444953530390088
C11orf24	-0.8442636237192788
RPUSD3	-0.8441697296960362
AP2A2	-0.8439660980166669
PRKG1	-0.8439554283074714
ADCY6	-0.8437261693211987
C7orf31	-0.8435010272608713
EIF2AK1	-0.8432333447569991
SOX12	-0.8431438685290147
CDR2	-0.8429486508775406
FRAT2	-0.8429339846577187
GPR87	-0.8427291847872971
SPON2	-0.8422376733486469
CD81	-0.8422064179268983
FPGS	-0.8420888161593632
TXNL4A	-0.841949494887121
UBE3D	-0.8419204165775208
PNMA1	-0.8418032875925308
NOC2L	-0.8417540665049319
MKNK2	-0.8416324814900366
PCDHGA6	-0.8415443200991324
SLC45A4	-0.8413994263787916
ZHX2	-0.8413070716492265
RFTN1	-0.8411631804273147
TESK1	-0.8410971142273295
AMPD3	-0.8409435824394996
ADD1	-0.8408876592393328
GFI1B	-0.8408663140607795
LDHD	-0.8408344846903247
TUFT1	-0.8408205144272611
ALDOB	-0.8406490125967634
GNPAT	-0.8403013019386543
DOK2	-0.840243949447793
GOLM1	-0.8401894119318356
TTLL3	-0.8401706621333518
RABGEF1	-0.8401540926053088
SLC38A5	-0.8401539737486368
FAM131A	-0.8399792204239757
RYBP	-0.8399176329618121
PRPS2	-0.8398428678604958
PTRH2	-0.8398270503510297
ENDOD1	-0.8397738321930215
NELL1	-0.8396882756005694
SUV39H1	-0.8395444335281955
DNAJA3	-0.839195759922651
CLEC14A	-0.8389886577449871
ABCB4	-0.8389175284767841
NCOA7	-0.8388394215976714
UBE2E2	-0.8387570437687789
GIMAP8	-0.8387131981216729
PJA1	-0.838410937965111
ZMYM1	-0.8383227782334803
SPRR1A	-0.836954505819921
PGRMC2	-0.8368440079149764
DYNC2I2	-0.8366942859461163
AARD	-0.8362195923972017
CCDC85B	-0.8361942817971676
ZDHHC17	-0.836151967489882
PTPRG	-0.8361085650861008
TLCD1	-0.8359796309583376
GCC2	-0.8359335024982151
PABPC4	-0.8358807190612325
IDS	-0.8357761663307623
MAPK9	-0.8357582652116201
ITFG2	-0.835709458977089
ZFP30	-0.8355870691036127
NUFIP2	-0.8354466631439222
MAGEE1	-0.8353885618782361
NRARP	-0.8353680751936834
TPCN1	-0.8353414530272472
RGL1	-0.835246790876105
KCNG2	-0.8352073065675337
PGPEP1	-0.835157121381526
RASGEF1C	-0.8350460191159865
PLA2G10	-0.8349741970279387
KLHL8	-0.8348147106372318
PCBP3	-0.8347295769537421
GSTZ1	-0.8346544109771168
AKAP8L	-0.8341304371166839
BMP1	-0.8340648630677729
MEGF10	-0.8340261999918505
ESCO1	-0.8337153522657371
ADAMTS12	-0.833696715572343
VPS4A	-0.8331880288662458
PGBD1	-0.8331646716852469
ZFP36L1	-0.8331463906883033
USP33	-0.832954889513341
DLST	-0.8326556043667155
CLDN10	-0.8324699212613691
MBD3L2	-0.8323747968284496
KLF1	-0.8321491217460701
ASB6	-0.8320940482497917
XYLB	-0.8320225307614726
ERMAP	-0.8319953597226765
GRAP2	-0.8317441844041265
DDX27	-0.8317273621703977
ADCY9	-0.8316558670299202
MTMR9	-0.8311874961346994
SQLE	-0.8309450138398033
XRCC6	-0.8309424044282714
DLG5	-0.8309240055676784
TATDN2	-0.830650136310043
NDN	-0.830380038763145
CLSTN1	-0.8301824351977313
TNK2	-0.8300826510915967
TUBD1	-0.8296462659559362
FIZ1	-0.8295061244421232
CRTC1	-0.8294970352378299
BGN	-0.829431768684752
CAMSAP1	-0.8293728331706609
TM4SF1	-0.8289502437370926
ANXA4	-0.8287595065275665
DPY19L4	-0.8287335281560829
SPATA2	-0.8281746130019105
SLC11A2	-0.8280458305203378
HNRNPUL1	-0.8280042954166982
NMT2	-0.8279513779187947
ZBED3	-0.8279430211773352
BRF1	-0.8278154319166076
DDX31	-0.8278055228137715
TOE1	-0.827736253042373
GSTK1	-0.8276518392908362
SEC14L2	-0.8275912651020736
FARP2	-0.8275654263191469
ERH	-0.8273271631182306
UBASH3A	-0.8272896927048391
FAM114A2	-0.8270990664178861
CCT3	-0.8269835433108158
CXXC1	-0.8267909205977179
EYA3	-0.8267829273771805
PPM1G	-0.8265301431519518
SLC22A18	-0.8264403628049418
EPYC	-0.8263916261356211
UQCRC1	-0.8263716774145404
MRPL49	-0.8263388217638596
GTDC1	-0.8260611004341896
CLPB	-0.8257612150926154
CARM1	-0.8254806238150776
CEP63	-0.8253173957468388
KRT78	-0.8252505140208056
AQP9	-0.8251249204589864
LUC7L	-0.8250649085850469
RFC2	-0.825047424971782
PHF1	-0.8249982752976575
PTPDC1	-0.8249069521177039
VPS16	-0.8248853273382162
CPS1	-0.8243496908309359
SLC1A3	-0.8242874645724427
PRPF38B	-0.8242428064961417
MAPK11	-0.824054507128227
LYPLAL1	-0.8239537936627819
PDXP	-0.8239280536898319
YTHDF1	-0.8236385890054639
SLC2A3	-0.8233784847548479
SFXN4	-0.8230298531503868
GNB5	-0.8228818235115359
GPRC6A	-0.8228296293794244
SLC12A2	-0.8226691294459423
COPG2	-0.8226542786299896
CD82	-0.8226496532820426
SLC26A1	-0.8224406219804199
KIRREL3	-0.8224013520247975
GPSM2	-0.8223732328451105
TTC3	-0.8223441287716917
RBCK1	-0.8222572796551476
TRAF4	-0.8222478956029131
IL22RA1	-0.8221528712905843
PPP3CC	-0.8221297169943851
RETN	-0.8220843748784347
COX15	-0.8220749618433785
FBXO3	-0.8219973163855616
TNFRSF10A	-0.8219623187578575
POMGNT1	-0.8217558438800837
SMAP2	-0.8217287531733276
CTPS1	-0.8215784315095096
MKRN1	-0.8215190554375291
GDPD4	-0.8215100043472531
RDH10	-0.8214636113081915
CDT1	-0.8213760022320332
ISCA1	-0.8213518739634841
TSPAN33	-0.8213453593881391
CTSF	-0.8211723192434839
ATG16L1	-0.8211708944346943
RPL31	-0.8209813544555861
SLC2A8	-0.8209349998485221
GATA4	-0.8209336420772028
SLC29A1	-0.8208414511584328
NDUFS2	-0.8207984549813591
HMGN1	-0.8202738830593703
SHC1	-0.8201865678958971
SHANK3	-0.8201090338506993
CRY2	-0.8200469329032516
EHD2	-0.8200263539826635
MRGPRF	-0.819808825500415
NUP107	-0.8197817564854716
KEL	-0.8196611922040131
AHCTF1	-0.8191778279203509
ZNF623	-0.8190551565190846
SLC45A3	-0.8190476009639198
PITRM1	-0.8190116676540528
BUB3	-0.818997203165199
ZNF646	-0.818994268352083
ZNF48	-0.8189775756175756
PKLR	-0.8189336329468063
C12orf29	-0.818833637305378
TFDP1	-0.8186236891284411
SSX4	-0.8186031110947569
E2F7	-0.8185060393667383
GTF3C5	-0.8184629078000013
MGP	-0.8183951602911868
MED26	-0.8183905851850828
ATP8B1	-0.8183604182078441
MGLL	-0.8182874738166619
HS6ST1	-0.8182737358663725
VEGFB	-0.8181980709204714
TCEAL5	-0.8181308325572767
SPIRE1	-0.8180179939219607
POLM	-0.8178807324490545
MAGED1	-0.8178252764376753
FANCC	-0.817488512466817
ELAVL2	-0.817293246424412
CA2	-0.81722432223613
KPNA1	-0.8170622487840121
NME3	-0.8167458478365525
ARRB1	-0.8167099901667488
PITPNM2	-0.816463963829069
ARFGAP1	-0.816376300742812
LSG1	-0.8162138183647606
TULP2	-0.8161654525557693
LHFPL2	-0.8161269309510316
TSGA13	-0.8160786330164042
ZBTB2	-0.8158644659733288
DDX28	-0.8157021545275105
QDPR	-0.8156687783044858
FEN1	-0.8156433354462267
COL16A1	-0.8155662244796047
PTPN4	-0.8151586103320823
PARN	-0.8151563437917453
SNX8	-0.8151092301224768
RCC2	-0.8147441660355415
NPNT	-0.8146790832623675
AP1M1	-0.8146689872206324
DOK4	-0.8145385941608101
TCEAL1	-0.8145204988564069
LOC102723532	-0.8143556553560757
PMM2	-0.8140816842083497
ICAM4	-0.8138826906303014
WNT3A	-0.8138558458650583
NPM2	-0.8136809376637345
KCTD4	-0.8135850937595619
THBS2	-0.8134739354512478
RALA	-0.8132889961648532
PSEN2	-0.8128414319631753
SSX2IP	-0.8127833035691173
SLC40A1	-0.8127374017850313
MAP3K12	-0.8125992886191518
PAQR3	-0.8125918704757319
PLOD2	-0.8125582267837106
EIF2S2	-0.8125169825572192
RABEP1	-0.8122732951393418
USP20	-0.8122054696408844
FN1	-0.8119781665189693
TOP2B	-0.8119298271680916
HEBP1	-0.8118885701557351
PFKL	-0.8117467789627113
SNAP25	-0.8116942971761925
ARHGAP28	-0.8114056590805897
BLK	-0.8113000793215744
FGD6	-0.8111073558486918
HSD11B2	-0.8109709657451281
IQCD	-0.8109616217721243
TYSND1	-0.810794198598793
TGM5	-0.8106928009396821
FBXO9	-0.810618157911828
SHKBP1	-0.8105985693963482
TMEM158	-0.8105622241980667
RUNDC1	-0.8105598585907237
SYNGR1	-0.8105549372784714
GLS2	-0.8104284535787847
EBNA1BP2	-0.8103107315504642
PDHA1	-0.8102698951073913
ABCB6	-0.8098009546894376
STAT5A	-0.8094002139565226
PIK3R2	-0.8092806026141923
TSPAN6	-0.8091760378187285
CYB561	-0.8088795174382185
ZNF436	-0.8087973351664518
PLVAP	-0.8087219915828492
PNPLA7	-0.8086523405080562
C4orf17	-0.8086127141511157
ZFP2	-0.8085242814688736
LRRC42	-0.8082664371960905
CNP	-0.8081874983114756
HSD17B8	-0.8080973956246067
DPH1	-0.8079451670021495
GFAP	-0.8079308439028199
CHRM4	-0.8078326863632789
AQP11	-0.8078302917543173
SMPD1	-0.8077292645424498
FAM184A	-0.8074128544162875
TULP4	-0.8073466549459009
ULK1	-0.807203752194181
CTSE	-0.8066630644539123
ADSL	-0.8063591329844413
TMEM161A	-0.8062921984089377
EIF4G1	-0.8062331712101224
USP38	-0.8061162707328627
HLA-A	-0.8060766076074669
ABHD6	-0.8059515680731745
DYRK3	-0.8058235205200529
ZDHHC14	-0.8055496615348647
POFUT2	-0.8052488437298403
STAG1	-0.8051842703969553
CSNK1D	-0.8051678677145349
LPIN1	-0.8050178965360794
WRN	-0.8049039756211783
MAP2K7	-0.804667624529685
KLHL22	-0.8045361392809312
DNAJB1	-0.8045265131807047
MACROD1	-0.8043096244248035
NUDT4	-0.8042693410319163
TMCC2	-0.8039352646422341
UROD	-0.8039080932110092
EBF4	-0.8038587537117795
GAS2	-0.8037633476808878
ASNS	-0.8036882996609862
TRMT1	-0.8034921934933051
TTLL1	-0.8033674258844459
POLR2E	-0.8031590865356165
GPC4	-0.8031019536754277
CDYL	-0.8028020508200993
CACNA1H	-0.8026173398171036
FAM171A2	-0.8025049697899911
UGCG	-0.8020790484077723
EIF3D	-0.8018276596681541
GPX4	-0.8016123478088407
RAB13	-0.8011165249864743
MAGEE2	-0.8010944791577931
AP2A1	-0.8010891683230604
TNPO2	-0.8010246443925216
PRKAR2A	-0.8009181370948281
RGS12	-0.8008534135863974
B3GNTL1	-0.8008500761582787
MYLPF	-0.800749314109084
TCP1	-0.8006829371675243
ARFGEF2	-0.8006587338342763
STX17	-0.8005823106706178
RANGRF	-0.8003716678050481
SAP30BP	-0.8001421054100725
DYM	-0.7999841375716461
CEP70	-0.7999470922666579
LRRC10	-0.7995867828660798
BLVRB	-0.7993623063258952
SIDT2	-0.7990339766140814
BCL11A	-0.7989909677793054
NCAPH2	-0.7989650650543344
NUP85	-0.798938909694962
PEX16	-0.7987792973114872
TTC28	-0.7986349627184584
C1orf146	-0.7983464467621594
KCND1	-0.7982593395244001
KCTD10	-0.7979748742602212
PIP4K2A	-0.797948524792158
HUS1	-0.7976634870634722
INSR	-0.7976090762375543
NSMAF	-0.7975222394947785
NFS1	-0.7974003191321337
ANGPT1	-0.7972546597997908
LSS	-0.7972193806731309
ZFP69	-0.797180694287097
ROBO3	-0.7967083905309962
RAB3IL1	-0.7966555434512285
RAD17	-0.79650009813361
DYSF	-0.7962456916887917
CITED4	-0.7962226286792478
SRRD	-0.7961499900769385
SGSM3	-0.7959758951019605
DCLK1	-0.7959611043004646
TRPM1	-0.7958990051363727
HDAC3	-0.7958049636205293
GRSF1	-0.7956241513103495
KRT13	-0.7954993611387808
RB1	-0.7954830610473972
PDIA2	-0.7948380820160704
ATG9B	-0.7946854925482832
HIBADH	-0.7946272392924756
ZNF717	-0.794522498557395
MTO1	-0.7944928419135112
RAB6B	-0.794376711254684
ERAL1	-0.7943504854649289
PRDX6	-0.794152891985925
TMEM151B	-0.7939030779030023
RNF26	-0.7937525207036289
USP15	-0.7931484898525054
NPAS2	-0.7930904902086947
TFDP2	-0.7928838740051831
TM6SF2	-0.7928025708168317
ASCC1	-0.7926171934363412
PRDX3	-0.7919086581145406
UCK1	-0.7917486390606041
ANKRD10	-0.7915329918949449
DCTD	-0.7915185678872004
TJAP1	-0.7914448111175638
LRRC1	-0.791371207351998
FBXO8	-0.7912284679547039
FLOT1	-0.7912011067825975
HSPA12B	-0.7911738570116937
AGFG2	-0.7911359660814276
ZNF761	-0.7911005543248742
MAP2K6	-0.7906639260739606
TIMP3	-0.7905494420233923
CCL1	-0.7903851046454031
DYNC2I1	-0.7901381253264125
GSTM3	-0.7896977414197113
BRWD1	-0.7890736132579927
MRPL28	-0.788966882185599
ENC1	-0.78874731867243
CASP14	-0.7886841066998854
TMEM175	-0.7886594716833726
SALL1	-0.7886506862687862
GALR1	-0.7884139922580561
BNIP1	-0.7882609814112983
IL12RB2	-0.7881387760875253
IDH3G	-0.7880886682772688
DCTN2	-0.7879887063622567
PIP5KL1	-0.7877259861554076
SPESP1	-0.7871779005203923
BTNL9	-0.7865075208842927
BEX4	-0.7861210327460982
CCNE1	-0.7859088169703141
RNF141	-0.7857118122804567
ABCF1	-0.7856357902532077
GJA1	-0.7853975773571465
PLEKHG5	-0.7853061972537159
POU3F4	-0.7849707615842113
MBTPS1	-0.7849291490823055
NCKAP1	-0.7846216213174275
VPS35	-0.7844369440225312
ENO3	-0.7841525167181618
ACAT2	-0.7839530677886276
TSPAN8	-0.7835425020320822
MNS1	-0.7833331044667156
SUZ12	-0.7833096627950025
LMNA	-0.7832770200333675
AGPAT1	-0.7831649599137571
ANAPC2	-0.7829934025543669
CD99L2	-0.7828638224686135
SLC6A2	-0.7827780554034331
NACC2	-0.7826346602255494
ZC3H14	-0.7822160232611592
DGKQ	-0.782028963804764
INTS10	-0.7817286715095325
PTCHD1	-0.781690473994219
CACHD1	-0.7814020908441556
DAPK1	-0.7810756395746502
NUP50	-0.7809123024129132
OR9K2	-0.7807323956909463
POLR3G	-0.7806635934525185
DNAJC27	-0.7806316045646713
GNPDA1	-0.7805061692712069
NDRG3	-0.7804248516339547
PPP1R9B	-0.7803633784916201
CPOX	-0.7803080281112097
TNNI2	-0.7802878689916957
AGPAT3	-0.7801824595468753
NCOA5	-0.7801428797363834
HBS1L	-0.7801122682151218
RRAGB	-0.7797238391154938
GGCX	-0.7793504044968126
CCT6A	-0.7793082041155803
EXT1	-0.7792388433285948
TCAP	-0.7788889257150493
ZNF593	-0.7788812750860359
PMP2	-0.7788298694463404
WDR92	-0.7785698363769996
FBXL15	-0.7785547634511025
RASD1	-0.7784155984883873
MLF2	-0.7783440221642851
RNF145	-0.7782733736233782
AMOTL1	-0.7780052578347997
ARL5A	-0.7777516670094966
RFWD3	-0.7776225486434528
TNIK	-0.7773523351164751
DBP	-0.7772067310315035
FGFR1OP2	-0.7763879111469315
THRA	-0.7761369697633331
TOM1L1	-0.776103856819205
FUCA2	-0.7760698980667188
PPIE	-0.7759013120743246
EPS8L3	-0.7758932873120418
C3orf52	-0.775814826097868
FNTB	-0.7757964474705247
CDK10	-0.7756205343566882
BTAF1	-0.7754703192568222
VPS41	-0.7753259564959754
FOXO1	-0.7752926866070995
ARFGAP2	-0.7750404605744916
BCAS3	-0.7747100795606703
TDRKH	-0.7746916849302091
PPP4R4	-0.774618089716286
NT5DC1	-0.7745626317511103
BLM	-0.7745230212083067
ARMC9	-0.7744888163581674
SFMBT1	-0.7741866852251277
CDK5	-0.7741467527470675
EIF3B	-0.7740603830876365
NEK8	-0.7733448957759872
HSPB6	-0.7732815851135062
MKI67	-0.7728405310483736
NUDT22	-0.7727386766479205
PDGFB	-0.7724326103943399
HPX	-0.7723480572773214
MTCH1	-0.7723267156763155
MAP2K4	-0.7723238073078001
ZNF239	-0.772311355864141
AKR7A2	-0.7719948145089855
IQCF1	-0.7718037610883576
C3orf70	-0.7716854195802986
MBP	-0.7716570845514334
UBXN6	-0.7715679081345259
HOOK2	-0.77152458688934
OR5AC2	-0.7711537534829164
SLC7A4	-0.7707375463168857
ZER1	-0.7706565576655048
E2F4	-0.7705233041601579
HDGF	-0.7705055872385699
GNA12	-0.7703881869496021
GLS	-0.7703325395996939
NFYA	-0.7703129174246108
IPO4	-0.7702320391310398
